Title,Author,Year,Place of publication,Language,Volume,Page
HandwÃ¶rterbuch der naturwissenschaften  ,"Verworn, Max,      1863 -1921",1912,Jena,German,4,Page 834
Lehrbuch der Botanik fÃ¼r Hochschulen  ,"Strasburger, Eduard,      1844 -1912",1911,Jena,German,,Page 26
Mikrochemie der Pflanze.    ,"Molisch, Hans,      1856 -1937",1921,Jena,German,,Page 370
Mikrochemie der pflanze  ,"Molisch, Hans,      1856 -1937",1923,Jena,German,,Page 374
"Monographie der Papageien : oder, VollstaÌˆndige Naturgeschichte aller bis jetzt bekannten Papageien mit getreuen und ausgemalten Abbildungen  ","Brehm, L.     (Ludwig), 1787 -1864",1842,Jena,,Heft 1-15 (1842-1855),Page 3
Morphologische und physiologische Analyse der Zelle der Pflanzen und Tiere : GrundzÃ¼ge unseres Wissens Ã¼ber den Bau der Zelle und Ã¼ber dessen Beziehung zur Leistung der Zelle  ,"Meyer, Arthur,      1850 -1922",1920,Jena,German,1,Page 65
"Organographie der Pflanzen, insbesondere der Archegoniaten und Samenpflanzen  ","Goebel, K.     (Karl), 1855 -1932",1898,Jena,German,1,Page 463
"Das pflanzenphysiologische Praktikum : Anleitung zu pflanzenphysiologischen Untersuchungen fÃ¼r Studirende und Lehrer der Naturwissenschaften sowie der Medicin, Land- und Forstwirthschaft  ","Detmer, Wilhelm,      1850 -1930",1895,Jena,German,,Page 101
"Die Pflanzenstoffe, botanisch-systematisch bearbeitet ; chemische Bestandteile und Zusammensetzung der einzelnen Pflanzenarten, Rohstoffe und Produkte. Phanerogamen  ","Wehmer, C.     (Carl), 1858 -1935",1911,Jena,German,,Page 157
"VortrÃ¤ge Ã¼ber botanische stammesgeschichte, gehalten an der ReichsuniversitÃ¤t zu Leiden.  ","Lotsy, Johannes Paulus,      1867 -",1907,Jena,German,1,Page 504
"VortrÃ¤ge Ã¼ber botanische Stammesgeschichte, gehalten an der ReichsuniversitÃ¤t zu Leiden. Ein Lehrbuch der Pflanzensystematik.   ","Lotsy, Johannes Paulus,      1867 -1931",1907,Jena,German,1,Page 504
Abhandlungen und Bericht des Vereins fÃ¼r Naturkunde zu Kassel ...  ,Verein fÃ¼r Naturkunde zu Kassel.       ,1916,Kassel,German,v.55 (1916-1919),Page 251
Beihefte zum botanischen Centralblatt.  ,,1891,Kassel,German,Bd.1-2 (1891-1892),Page 189
Review of applied mycology.    ,"Commonwealth Mycological Institute, Kew, Eng.       ",1922,Kew,English,v.1 (1922),Page 234
Syllabus der Vorlesungen uÌˆber Phanerogamenkunde  ,"Eichler, August Wilhelm,      1839 -1887",1876,Kiel,German,,Page 32
"Bulletin of the Botanical Department, Jamaica.  ","Fawcett, William,      1851 -1926",1887,Kingston,English,no.1-38 1887-1892,
"Calcutta journal of natural history, and miscellany of the arts and sciences in India.  ","McClelland, John,       1883",1846,Kolkata,English,Vol.6 (1846),Page 17
"Hortus suburbanus calcuttensis.  A catalogue of the plants which have been cultivated in the Hon. East India companyâ€™s botanical garden, Calcutta, and in the Serampore botanical garden ... from the beginning of both establishments (1786 and 1800) to the end of August 1841 ...  ","Voigt, J. O.     (Jahann Otto), 1798 -1843",1845,Kolkata,English,,Page 52
"Hortus suburbanus Calcuttensis; A catalogue of the plants which have been cultivated in the Hon. East India Company's botanical garden, Calcutta, and in the Serampore botanical garden.  ","Voigt, J. O.     (Jahann Otto), 1798 -1843",1845,Kolkata,English,,Page 52
