TitleID,Listed subjects
98151,"Buenos Aires ; Nahuel Huapí, lago ; Zoology ; Zoos ; Field notes ; Wild animal collecting ; Argentina ; Scrapbooks ; Córdoba ; Brazil ; Rio de Janeiro ; La Plata"
98166,"approximately 1480-approximately 1534 ; Greenland ; -1521 ; Brazil ; Iceland ; Natural history ; Whales ; Imprint 1669 ; West Indies ; Pigafetta, Antonio, ; Magalhães, Fernão de,"
98653,Brazil ; Guinea ; Natural history ; Latin America ; Description and travel
100099,Indians of South America ; Amazon River Valley ; Natural history ; Brazil ; Description and travel
100722,"North Carolina ; Botany, Medical ; Florida ; Medicinal plants ; Brazil ; Cashew nut ; Jamaica ; Imprint 1804 ; West Indies ; Hot peppers ; Virginia ; Tobacco ; Materia medica, Vegetable ; South Carolina ; Sassafras"
100832,Botanists ; Grasses ; Brazil ; São Paulo ; Rio de Janeiro ; Botany ; Araguaia ; Correspondence ; Uberlândia ; Anápolis ; Cabo Frio ; Bolivia ; Field notes
100833,"Brazil ; Rio de Janeiro ; Correspondence ; Field notes ; Botany ; Caparaó, Serra do ; Grasses ; Botanists"
100839,"Botany ; Espirito Santo ; Rio de Janeiro ; Caparaó, Serra do ; Grasses ; Brazil ; Diamantina ; Três Lagoas ; Botanists ; Correspondence ; Campo Grande ; Field notes ; Poços de Caldas ; Serra do Mar"
100882,Correspondence ; Botanists ; Brazil ; Grasses ; Botany ; Puerto Rico ; Field notes ; Research notes
101435,"Grasses ; Rio de Janeiro ; Bahia ; Field notes ; Botanists ; Lecture notes ; Botany ; Brazil ; Diamantina ; Caparaó, Serra do"
101800,Panama ; Ethology ; Field notes ; Animal behavior ; Brazil ; Ornithology ; Barro Colorado ; Amapá ; Illustrations
101806,"Description and travel ; 1764-1848 ; South Africa ; Voyages around the world ; Botswana ; Brazil ; Travel ; Southeast Asia ; Vietnam, Southern ; Barrow, John, ; Sir,"
102103,Imprint 1648 ; Medicine ; Indians of South America ; Natural history ; Pre-Linnean works ; Brazil
102215,Peru ; Andes ; Amazon river and valley ; Venezuela ; Description and travel ; Botany ; Ecuador ; South America ; Amazonas (Brazil)
102381,Brazil ; Amazon River ; Peru ; Description and travel ; Imprint 1745 ; Ecuador ; Voyages and travels ; Scientific Expeditions
102929,"Imprint 1593 ; Tupi language ; 1534-1611 ; Glossaries, vocabularies, etc ; Indian linguistics ; approximately 1525-approximately 1576 ; 1549-1762 ; Brazil ; 1510-1571? ; History ; 1548-1580 ; Indians of South America ; Léry, Jean de, ; Natural history ; D"
103298,Brazil ; Indians of South America ; Amazon River Valley ; Natural history
103709,"Botany ; Brazil ; Plants, Cultivated ; Amazon River Region ; Plant ecology ; Pictorial works"
103729,"approximately 1525-approximately 1576 ; Staden, Hans, ; Villegaignon, Nicolas Durand de, ; 1510-1571? ; Natural history ; 1548-1580 ; 1534-1611 ; History ; Imprint 1605 ; Indians of South America ; Tupi language ; Brazil ; Imprint 1597 ; Léry, Jean de, ;"
103801,Medicine ; Brazil ; Venom ; Imprint 1682 ; Snakes ; Tobacco ; Poisons ; Viperidae
104505,"Materia medica ; Chemistry ; Mexico ; Guiana ; Brazil ; Imprint 1674 ; Medicinal plants ; 1517-1587 ; Materia medica, Vegetable ; Rerum medicarum Novae Hispaniae thesaurus ; Hernández, Francisco, ; Botany, Medical ; Distillation"
104517,"Glossaries, vocabularies, etc ; 1548-1580 ; Tupi language ; Imprint 1597 ; Indians of South America ; 1510-1571? ; Léry, Jean de, ; approximately 1525-approximately 1576 ; Brazil ; Natural history ; Description and travel ; Indian linguistics ; 1549-1762"
